       X                   F1                  F2                  F3                  F4                  F5                  F6                  F7              q-mean(x)    
  2.000000e-02        5.299999e-02        2.619999e-01        4.100000e-01        2.200000e-01        5.000000e-02        4.130000e-03        8.699665e-04        2.967870e+00  
  2.560000e-02        6.112090e-02        2.701654e-01        4.025776e-01        2.106235e-01        5.009391e-02        4.946302e-03        4.722355e-04        2.935132e+00  
  3.120000e-02        6.631117e-02        2.767542e-01        3.975048e-01        2.042812e-01        4.964239e-02        5.242100e-03        2.641540e-04        2.910972e+00  
  3.680000e-02        6.975568e-02        2.817745e-01        3.942240e-01        1.998274e-01        4.896054e-02        5.302846e-03        1.549658e-04        2.892991e+00  
  4.240000e-02        7.210498e-02        2.855275e-01        3.921571e-01        1.966206e-01        4.822837e-02        5.263888e-03        9.742991e-05        2.879521e+00  
  4.800000e-02        7.374114e-02        2.883215e-01        3.908705e-01        1.942721e-01        4.753895e-02        5.188760e-03        6.692814e-05        2.869380e+00  
  5.360000e-02        7.489994e-02        2.904050e-01        3.900728e-01        1.925319e-01        4.693311e-02        5.106526e-03        5.061616e-05        2.861715e+00  
  5.920000e-02        7.573220e-02        2.919646e-01        3.895777e-01        1.912315e-01        4.642237e-02        5.029689e-03        4.178283e-05        2.855903e+00  
  6.480000e-02        7.633702e-02        2.931368e-01        3.892691e-01        1.902539e-01        4.600325e-02        4.962858e-03        3.691500e-05        2.851485e+00  
  7.040000e-02        7.678096e-02        2.940212e-01        3.890753e-01        1.895157e-01        4.566554e-02        4.906964e-03        3.416859e-05        2.848121e+00  
  7.600000e-02        7.710953e-02        2.946906e-01        3.889525e-01        1.889564e-01        4.539688e-02        4.861322e-03        3.257172e-05        2.845554e+00  
  8.160000e-02        7.735442e-02        2.951987e-01        3.888739e-01        1.885316e-01        4.518507e-02        4.824632e-03        3.160911e-05        2.843594e+00  
  8.720000e-02        7.753798e-02        2.955852e-01        3.888229e-01        1.882082e-01        4.501919e-02        4.795457e-03        3.100505e-05        2.842095e+00  
  9.280000e-02        7.767622e-02        2.958797e-01        3.887894e-01        1.879616e-01        4.488990e-02        4.772438e-03        3.061009e-05        2.840949e+00  
  9.840000e-02        7.778072e-02        2.961044e-01        3.887671e-01        1.877735e-01        4.478950e-02        4.754382e-03        3.034168e-05        2.840071e+00  
  1.040000e-01        7.785996e-02        2.962761e-01        3.887520e-01        1.876297e-01        4.471174e-02        4.740282e-03        3.015307e-05        2.839398e+00  
  1.096000e-01        7.792020e-02        2.964074e-01        3.887417e-01        1.875197e-01        4.465163e-02        4.729308e-03        3.001691e-05        2.838883e+00  
  1.152000e-01        7.796607e-02        2.965079e-01        3.887345e-01        1.874356e-01        4.460524e-02        4.720791e-03        2.991658e-05        2.838488e+00  
  1.208000e-01        7.800106e-02        2.965848e-01        3.887294e-01        1.873711e-01        4.456948e-02        4.714194e-03        2.984156e-05        2.838185e+00  
  1.264000e-01        7.802779e-02        2.966437e-01        3.887258e-01        1.873218e-01        4.454195e-02        4.709094e-03        2.978489e-05        2.837953e+00  
  1.320000e-01        7.804822e-02        2.966889e-01        3.887232e-01        1.872840e-01        4.452075e-02        4.705156e-03        2.974179e-05        2.837774e+00  
  1.376000e-01        7.806385e-02        2.967235e-01        3.887213e-01        1.872550e-01        4.450445e-02        4.702119e-03        2.970885e-05        2.837638e+00  
  1.432000e-01        7.807582e-02        2.967500e-01        3.887199e-01        1.872327e-01        4.449192e-02        4.699779e-03        2.968362e-05        2.837533e+00  
  1.488000e-01        7.808499e-02        2.967704e-01        3.887189e-01        1.872157e-01        4.448228e-02        4.697976e-03        2.966425e-05        2.837452e+00  
  1.544000e-01        7.809202e-02        2.967860e-01        3.887182e-01        1.872026e-01        4.447488e-02        4.696590e-03        2.964938e-05        2.837390e+00  
  1.600000e-01        7.809740e-02        2.967980e-01        3.887176e-01        1.871926e-01        4.446919e-02        4.695523e-03        2.963795e-05        2.837343e+00  
  1.656000e-01        7.810153e-02        2.968072e-01        3.887172e-01        1.871849e-01        4.446483e-02        4.694703e-03        2.962916e-05        2.837307e+00  
  1.712000e-01        7.810470e-02        2.968142e-01        3.887168e-01        1.871790e-01        4.446147e-02        4.694072e-03        2.962241e-05        2.837279e+00  
  1.768000e-01        7.810713e-02        2.968196e-01        3.887166e-01        1.871745e-01        4.445890e-02        4.693588e-03        2.961721e-05        2.837257e+00  
  1.824000e-01        7.810899e-02        2.968238e-01        3.887164e-01        1.871710e-01        4.445692e-02        4.693216e-03        2.961322e-05        2.837241e+00  
  1.880000e-01        7.811042e-02        2.968270e-01        3.887163e-01        1.871683e-01        4.445540e-02        4.692930e-03        2.961016e-05        2.837228e+00  
  1.936000e-01        7.811152e-02        2.968294e-01        3.887161e-01        1.871663e-01        4.445423e-02        4.692710e-03        2.960780e-05        2.837219e+00  
  1.992000e-01        7.811236e-02        2.968313e-01        3.887161e-01        1.871647e-01        4.445334e-02        4.692542e-03        2.960599e-05        2.837211e+00  
  2.048000e-01        7.811301e-02        2.968327e-01        3.887160e-01        1.871635e-01        4.445265e-02        4.692412e-03        2.960460e-05        2.837205e+00  
  2.104000e-01        7.811350e-02        2.968338e-01        3.887160e-01        1.871626e-01        4.445212e-02        4.692313e-03        2.960353e-05        2.837201e+00  
  2.160000e-01        7.811388e-02        2.968347e-01        3.887159e-01        1.871618e-01        4.445172e-02        4.692236e-03        2.960271e-05        2.837198e+00  
