       X                   F4                  F5                  F6                  F7                  F8              q-mean(x)    
  4.057300e-01        2.432533e-01        5.249213e-01        2.262877e-01        5.506459e-03        3.103238e-05        4.994139e+00  
  4.132250e-01        2.372450e-01        5.251094e-01        2.318523e-01        5.759992e-03        3.310147e-05        5.006225e+00  
  4.207200e-01        2.313974e-01        5.251439e-01        2.374039e-01        6.019354e-03        3.526237e-05        5.018150e+00  
  4.282150e-01        2.257059e-01        5.250308e-01        2.429410e-01        6.284514e-03        3.751701e-05        5.029916e+00  
  4.357100e-01        2.201663e-01        5.247763e-01        2.484618e-01        6.555437e-03        3.986727e-05        5.041525e+00  
  4.432050e-01        2.147744e-01        5.243861e-01        2.539648e-01        6.832089e-03        4.231504e-05        5.052981e+00  
  4.507000e-01        2.095262e-01        5.238658e-01        2.594485e-01        7.114433e-03        4.486218e-05        5.064285e+00  
  4.581950e-01        2.044176e-01        5.232208e-01        2.649114e-01        7.402429e-03        4.751051e-05        5.075440e+00  
  4.656900e-01        1.994449e-01        5.224564e-01        2.703522e-01        7.696037e-03        5.026186e-05        5.086449e+00  
  4.731850e-01        1.946043e-01        5.215776e-01        2.757696e-01        7.995217e-03        5.311801e-05        5.097314e+00  
  4.806800e-01        1.898921e-01        5.205893e-01        2.811624e-01        8.299924e-03        5.608072e-05        5.108038e+00  
  4.881750e-01        1.853049e-01        5.194964e-01        2.865293e-01        8.610115e-03        5.915176e-05        5.118621e+00  
  4.956700e-01        1.808391e-01        5.183033e-01        2.918693e-01        8.925744e-03        6.233283e-05        5.129068e+00  
  5.031650e-01        1.764915e-01        5.170146e-01        2.971813e-01        9.246765e-03        6.562563e-05        5.139379e+00  
  5.106600e-01        1.722588e-01        5.156346e-01        3.024643e-01        9.573129e-03        6.903183e-05        5.149558e+00  
  5.181550e-01        1.681379e-01        5.141673e-01        3.077173e-01        9.904788e-03        7.255308e-05        5.159606e+00  
  5.256500e-01        1.641256e-01        5.126169e-01        3.129394e-01        1.024169e-02        7.619101e-05        5.169525e+00  
  5.331450e-01        1.602191e-01        5.109872e-01        3.181299e-01        1.058379e-02        7.994721e-05        5.179317e+00  
  5.406400e-01        1.564154e-01        5.092819e-01        3.232877e-01        1.093103e-02        8.382325e-05        5.188985e+00  
  5.481350e-01        1.527117e-01        5.075047e-01        3.284123e-01        1.128337e-02        8.782068e-05        5.198530e+00  
  5.556300e-01        1.491052e-01        5.056591e-01        3.335028e-01        1.164074e-02        9.194101e-05        5.207954e+00  
  5.631250e-01        1.455934e-01        5.037486e-01        3.385586e-01        1.200310e-02        9.618574e-05        5.217259e+00  
  5.706200e-01        1.421736e-01        5.017763e-01        3.435791e-01        1.237038e-02        1.005563e-04        5.226447e+00  
  5.781150e-01        1.388432e-01        4.997454e-01        3.485636e-01        1.274255e-02        1.050542e-04        5.235520e+00  
  5.856100e-01        1.355999e-01        4.976591e-01        3.535116e-01        1.311953e-02        1.096809e-04        5.244479e+00  
  5.931050e-01        1.324413e-01        4.955202e-01        3.584226e-01        1.350128e-02        1.144376e-04        5.253327e+00  
  6.006000e-01        1.293651e-01        4.933316e-01        3.632961e-01        1.388773e-02        1.193258e-04        5.262064e+00  
  6.080950e-01        1.263690e-01        4.910961e-01        3.681316e-01        1.427884e-02        1.243468e-04        5.270693e+00  
