       X                   F1                  F2                  F3                  F4                  F5                  F6                  F7              q-mean(x)    
  1.000000e-10        1.300000e-07        3.500200e-04        1.200004e-02        9.855301e-01        2.000039e-03        1.200039e-04       -3.024000e-08        3.989541e+00  
  1.220010e-05        3.107413e-07        3.646229e-04        1.364286e-02        9.836023e-01        2.270212e-03        1.200012e-04       -2.918341e-08        3.988138e+00  
  2.440010e-05        4.991122e-07        3.811332e-04        1.527974e-02        9.816797e-01        2.539215e-03        1.200360e-04       -2.812994e-08        3.986737e+00  
  3.660009e-05        6.960658e-07        3.995416e-04        1.691068e-02        9.797622e-01        2.807054e-03        1.201082e-04       -2.707924e-08        3.985337e+00  
  4.880009e-05        9.025493e-07        4.198385e-04        1.853571e-02        9.778499e-01        3.073731e-03        1.202175e-04       -2.603099e-08        3.983937e+00  
  6.100009e-05        1.119504e-06        4.420146e-04        2.015485e-02        9.759427e-01        3.339253e-03        1.203636e-04       -2.498484e-08        3.982539e+00  
  7.320009e-05        1.347864e-06        4.660605e-04        2.176811e-02        9.740406e-01        3.603622e-03        1.205462e-04       -2.394046e-08        3.981142e+00  
  8.540009e-05        1.588559e-06        4.919668e-04        2.337553e-02        9.721436e-01        3.866842e-03        1.207652e-04       -2.289754e-08        3.979745e+00  
  9.760008e-05        1.842513e-06        5.197243e-04        2.497711e-02        9.702517e-01        4.128919e-03        1.210203e-04       -2.185574e-08        3.978350e+00  
  1.098001e-04        2.110640e-06        5.493238e-04        2.657288e-02        9.683648e-01        4.389857e-03        1.213112e-04       -2.081476e-08        3.976956e+00  
  1.220001e-04        2.393854e-06        5.807559e-04        2.816286e-02        9.664830e-01        4.649658e-03        1.216377e-04       -1.977426e-08        3.975562e+00  
  1.342001e-04        2.693058e-06        6.140116e-04        2.974707e-02        9.646062e-01        4.908329e-03        1.219995e-04       -1.873394e-08        3.974170e+00  
  1.464001e-04        3.009153e-06        6.490817e-04        3.132552e-02        9.627344e-01        5.165872e-03        1.223963e-04       -1.769349e-08        3.972779e+00  
  1.586001e-04        3.343030e-06        6.859570e-04        3.289823e-02        9.608677e-01        5.422292e-03        1.228280e-04       -1.665260e-08        3.971389e+00  
