       X                   F1                  F2                  F3                  F4                  F5                  F6                  F7              q-mean(x)    
  1.708001e-04        3.695579e-06        7.246286e-04        3.446524e-02        9.590059e-01        5.677592e-03        1.232944e-04       -1.561096e-08        3.970000e+00  
  1.830001e-04        4.067679e-06        7.650873e-04        3.602654e-02        9.571490e-01        5.931778e-03        1.237950e-04       -1.456828e-08        3.968612e+00  
  1.952001e-04        4.460208e-06        8.073242e-04        3.758217e-02        9.552972e-01        6.184854e-03        1.243298e-04       -1.352425e-08        3.967224e+00  
  2.074001e-04        4.874035e-06        8.513303e-04        3.913215e-02        9.534502e-01        6.436822e-03        1.248984e-04       -1.247858e-08        3.965838e+00  
  2.196001e-04        5.310024e-06        8.970967e-04        4.067648e-02        9.516082e-01        6.687688e-03        1.255007e-04       -1.143099e-08        3.964453e+00  
  2.318001e-04        5.769034e-06        9.446144e-04        4.221520e-02        9.497711e-01        6.937455e-03        1.261364e-04       -1.038117e-08        3.963069e+00  
  2.440001e-04        6.251918e-06        9.938747e-04        4.374832e-02        9.479389e-01        7.186127e-03        1.268052e-04       -9.328846e-09        3.961686e+00  
  2.562001e-04        6.759523e-06        1.044869e-03        4.527585e-02        9.461116e-01        7.433708e-03        1.275070e-04       -8.273734e-09        3.960304e+00  
  2.684001e-04        7.292690e-06        1.097587e-03        4.679782e-02        9.442891e-01        7.680203e-03        1.282414e-04       -7.215552e-09        3.958923e+00  
  2.806001e-04        7.852256e-06        1.152023e-03        4.831425e-02        9.424715e-01        7.925616e-03        1.290083e-04       -6.154023e-09        3.957543e+00  
  2.928001e-04        8.439051e-06        1.208165e-03        4.982516e-02        9.406588e-01        8.169949e-03        1.298074e-04       -5.088873e-09        3.956164e+00  
  3.050000e-04        9.053900e-06        1.266006e-03        5.133055e-02        9.388508e-01        8.413208e-03        1.306385e-04       -4.019830e-09        3.954786e+00  
  3.172000e-04        9.697622e-06        1.325537e-03        5.283046e-02        9.370477e-01        8.655396e-03        1.315014e-04       -2.946626e-09        3.953409e+00  
  3.294000e-04        1.037103e-05        1.386750e-03        5.432491e-02        9.352493e-01        8.896517e-03        1.323958e-04       -1.868995e-09        3.952033e+00  
  3.416000e-04        1.107493e-05        1.449636e-03        5.581390e-02        9.334558e-01        9.136575e-03        1.333215e-04       -7.866743e-10        3.950658e+00  
  3.538000e-04        1.181013e-05        1.514186e-03        5.729746e-02        9.316670e-01        9.375574e-03        1.342783e-04        3.005967e-10        3.949284e+00  
  3.660000e-04        1.257743e-05        1.580392e-03        5.877560e-02        9.298829e-01        9.613517e-03        1.352659e-04        1.393075e-09        3.947911e+00  
  3.782000e-04        1.337761e-05        1.648245e-03        6.024835e-02        9.281036e-01        9.850410e-03        1.362842e-04        2.491016e-09        3.946539e+00  
  3.904000e-04        1.421147e-05        1.717737e-03        6.171572e-02        9.263290e-01        1.008625e-02        1.373329e-04        3.594670e-09        3.945168e+00  
  4.026000e-04        1.507978e-05        1.788860e-03        6.317773e-02        9.245591e-01        1.032106e-02        1.384117e-04        4.704287e-09        3.943798e+00  
  4.148000e-04        1.598332e-05        1.861605e-03        6.463441e-02        9.227939e-01        1.055482e-02        1.395206e-04        5.820114e-09        3.942429e+00  
  4.270000e-04        1.692286e-05        1.935963e-03        6.608575e-02        9.210334e-01        1.078754e-02        1.406592e-04        6.942394e-09        3.941062e+00  
  4.392000e-04        1.789917e-05        2.011927e-03        6.753180e-02        9.192776e-01        1.101924e-02        1.418273e-04        8.071367e-09        3.939695e+00  
  4.514000e-04        1.891300e-05        2.089489e-03        6.897255e-02        9.175264e-01        1.124990e-02        1.430247e-04        9.207274e-09        3.938329e+00  
  4.636000e-04        1.996512e-05        2.168639e-03        7.040804e-02        9.157798e-01        1.147954e-02        1.442512e-04        1.035035e-08        3.936964e+00  
  4.758000e-04        2.105626e-05        2.249370e-03        7.183828e-02        9.140379e-01        1.170816e-02        1.455066e-04        1.150082e-08        3.935600e+00  
  4.880000e-04        2.218718e-05        2.331673e-03        7.326328e-02        9.123006e-01        1.193576e-02        1.467906e-04        1.265893e-08        3.934237e+00  
  5.002000e-04        2.335861e-05        2.415541e-03        7.468306e-02        9.105678e-01        1.216235e-02        1.481031e-04        1.382490e-08        3.932875e+00  
  5.124000e-04        2.457129e-05        2.500965e-03        7.609765e-02        9.088397e-01        1.238793e-02        1.494439e-04        1.499895e-08        3.931515e+00  
  5.246000e-04        2.582595e-05        2.587937e-03        7.750706e-02        9.071161e-01        1.261250e-02        1.508126e-04        1.618131e-08        3.930155e+00  
  5.368000e-04        2.712330e-05        2.676449e-03        7.891130e-02        9.053971e-01        1.283607e-02        1.522092e-04        1.737219e-08        3.928796e+00  
  5.490000e-04        2.846408e-05        2.766494e-03        8.031040e-02        9.036826e-01        1.305864e-02        1.536334e-04        1.857182e-08        3.927438e+00  
  5.612000e-04        2.984898e-05        2.858063e-03        8.170437e-02        9.019727e-01        1.328022e-02        1.550850e-04        1.978042e-08        3.926081e+00  
  5.734000e-04        3.127873e-05        2.951147e-03        8.309323e-02        9.002672e-01        1.350081e-02        1.565638e-04        2.099818e-08        3.924726e+00  
  5.856000e-04        3.275402e-05        3.045741e-03        8.447699e-02        8.985663e-01        1.372041e-02        1.580695e-04        2.222533e-08        3.923371e+00  
  5.978000e-04        3.427556e-05        3.141834e-03        8.585568e-02        8.968698e-01        1.393902e-02        1.596021e-04        2.346207e-08        3.922017e+00  
