       X                   F4                  F5                  F6                  F7                  F8              q-mean(x)    
  1.500000e+00        1.470000e-02        2.240000e-01        6.800000e-01        7.799997e-02        3.300038e-03        5.831200e+00  
  1.505000e+00        1.456354e-02        2.230421e-01        6.806842e-01        7.839748e-02        3.312722e-03        5.832854e+00  
  1.510000e+00        1.442897e-02        2.220904e-01        6.813603e-01        7.879482e-02        3.325479e-03        5.834498e+00  
  1.515000e+00        1.429628e-02        2.211450e-01        6.820285e-01        7.919198e-02        3.338310e-03        5.836131e+00  
  1.520000e+00        1.416543e-02        2.202057e-01        6.826887e-01        7.958898e-02        3.351214e-03        5.837755e+00  
  1.525000e+00        1.403640e-02        2.192726e-01        6.833411e-01        7.998579e-02        3.364191e-03        5.839369e+00  
  1.530000e+00        1.390914e-02        2.183455e-01        6.839857e-01        8.038242e-02        3.377242e-03        5.840973e+00  
  1.535000e+00        1.378364e-02        2.174246e-01        6.846226e-01        8.077885e-02        3.390365e-03        5.842568e+00  
  1.540000e+00        1.365987e-02        2.165098e-01        6.852517e-01        8.117509e-02        3.403560e-03        5.844153e+00  
  1.545000e+00        1.353780e-02        2.156010e-01        6.858733e-01        8.157112e-02        3.416828e-03        5.845729e+00  
  1.550000e+00        1.341739e-02        2.146982e-01        6.864873e-01        8.196695e-02        3.430168e-03        5.847295e+00  
  1.555000e+00        1.329864e-02        2.138014e-01        6.870939e-01        8.236256e-02        3.443580e-03        5.848851e+00  
  1.560000e+00        1.318150e-02        2.129105e-01        6.876930e-01        8.275795e-02        3.457064e-03        5.850399e+00  
  1.565000e+00        1.306596e-02        2.120256e-01        6.882847e-01        8.315312e-02        3.470619e-03        5.851937e+00  
  1.570000e+00        1.295198e-02        2.111466e-01        6.888691e-01        8.354806e-02        3.484245e-03        5.853466e+00  
  1.575000e+00        1.283955e-02        2.102735e-01        6.894463e-01        8.394277e-02        3.497942e-03        5.854986e+00  
  1.580000e+00        1.272864e-02        2.094062e-01        6.900163e-01        8.433723e-02        3.511710e-03        5.856497e+00  
  1.585000e+00        1.261923e-02        2.085447e-01        6.905791e-01        8.473145e-02        3.525548e-03        5.858000e+00  
  1.590000e+00        1.251128e-02        2.076890e-01        6.911348e-01        8.512543e-02        3.539457e-03        5.859493e+00  
  1.595000e+00        1.240479e-02        2.068391e-01        6.916836e-01        8.551914e-02        3.553435e-03        5.860978e+00  
  1.600000e+00        1.229972e-02        2.059949e-01        6.922253e-01        8.591260e-02        3.567484e-03        5.862454e+00  
  1.605000e+00        1.219606e-02        2.051564e-01        6.927602e-01        8.630579e-02        3.581602e-03        5.863921e+00  
  1.610000e+00        1.209378e-02        2.043236e-01        6.932882e-01        8.669872e-02        3.595790e-03        5.865379e+00  
  1.615000e+00        1.199286e-02        2.034964e-01        6.938093e-01        8.709137e-02        3.610047e-03        5.866830e+00  
  1.620000e+00        1.189328e-02        2.026749e-01        6.943238e-01        8.748374e-02        3.624372e-03        5.868271e+00  
  1.625000e+00        1.179502e-02        2.018589e-01        6.948316e-01        8.787583e-02        3.638767e-03        5.869705e+00  
  1.630000e+00        1.169805e-02        2.010485e-01        6.953327e-01        8.826764e-02        3.653230e-03        5.871130e+00  
  1.635000e+00        1.160237e-02        2.002435e-01        6.958272e-01        8.865915e-02        3.667761e-03        5.872547e+00  
  1.640000e+00        1.150794e-02        1.994441e-01        6.963152e-01        8.905036e-02        3.682360e-03        5.873955e+00  
  1.645000e+00        1.141475e-02        1.986502e-01        6.967968e-01        8.944128e-02        3.697027e-03        5.875356e+00  
  1.650000e+00        1.132278e-02        1.978617e-01        6.972719e-01        8.983189e-02        3.711762e-03        5.876748e+00  
  1.655000e+00        1.123201e-02        1.970786e-01        6.977407e-01        9.022219e-02        3.726563e-03        5.878133e+00  
  1.660000e+00        1.114243e-02        1.963009e-01        6.982032e-01        9.061218e-02        3.741432e-03        5.879510e+00  
  1.665000e+00        1.105401e-02        1.955285e-01        6.986594e-01        9.100185e-02        3.756368e-03        5.880878e+00  
  1.670000e+00        1.096674e-02        1.947614e-01        6.991093e-01        9.139119e-02        3.771370e-03        5.882239e+00  
  1.675000e+00        1.088059e-02        1.939996e-01        6.995532e-01        9.178022e-02        3.786439e-03        5.883593e+00  
  1.680000e+00        1.079556e-02        1.932431e-01        6.999909e-01        9.216891e-02        3.801574e-03        5.884938e+00  
  1.685000e+00        1.071162e-02        1.924918e-01        7.004226e-01        9.255727e-02        3.816775e-03        5.886276e+00  
  1.690000e+00        1.062876e-02        1.917457e-01        7.008483e-01        9.294529e-02        3.832041e-03        5.887606e+00  
  1.695000e+00        1.054697e-02        1.910048e-01        7.012680e-01        9.333297e-02        3.847373e-03        5.888929e+00  
  1.700000e+00        1.046621e-02        1.902690e-01        7.016818e-01        9.372030e-02        3.862770e-03        5.890245e+00  
  1.705000e+00        1.038649e-02        1.895383e-01        7.020898e-01        9.410728e-02        3.878232e-03        5.891553e+00  
  1.710000e+00        1.030779e-02        1.888127e-01        7.024919e-01        9.449391e-02        3.893759e-03        5.892854e+00  
  1.715000e+00        1.023008e-02        1.880921e-01        7.028883e-01        9.488018e-02        3.909350e-03        5.894147e+00  
  1.720000e+00        1.015336e-02        1.873765e-01        7.032790e-01        9.526610e-02        3.925005e-03        5.895433e+00  
  1.725000e+00        1.007760e-02        1.866660e-01        7.036641e-01        9.565165e-02        3.940725e-03        5.896712e+00  
  1.730000e+00        1.000280e-02        1.859604e-01        7.040435e-01        9.603683e-02        3.956508e-03        5.897984e+00  
  1.735000e+00        9.928945e-03        1.852597e-01        7.044174e-01        9.642163e-02        3.972354e-03        5.899249e+00  
  1.740000e+00        9.856014e-03        1.845639e-01        7.047858e-01        9.680607e-02        3.988264e-03        5.900507e+00  
  1.745000e+00        9.783994e-03        1.838730e-01        7.051487e-01        9.719012e-02        4.004237e-03        5.901758e+00  
  1.750000e+00        9.712874e-03        1.831869e-01        7.055062e-01        9.757380e-02        4.020273e-03        5.903002e+00  
  1.755000e+00        9.642640e-03        1.825056e-01        7.058583e-01        9.795709e-02        4.036371e-03        5.904239e+00  
