       X                   F1                  F2                  F3                  F4                  F5                  F6                  F7              q-mean(x)    
  6.000000e-04       -2.000000e-08        3.200017e-03        8.600003e-02        8.966400e-01        1.399998e-02        1.600000e-04        4.666000e-08        3.921920e+00  
  7.100000e-04        1.547888e-05        3.947674e-03        9.721811e-02        8.826775e-01        1.596561e-02        1.756317e-04        5.984344e-08        3.911157e+00  
  8.200000e-04        3.422120e-05        4.781507e-03        1.081071e-01        8.690227e-01        1.786113e-02        1.933713e-04        7.405493e-08        3.900476e+00  
  9.300000e-04        5.653261e-05        5.697779e-03        1.186760e-01        8.556679e-01        1.968861e-02        2.130924e-04        8.943297e-08        3.889874e+00  
  1.040000e-03        8.271876e-05        6.692881e-03        1.289337e-01        8.426059e-01        2.145008e-02        2.346737e-04        1.061033e-07        3.879352e+00  
  1.150000e-03        1.130660e-04        7.763319e-03        1.388886e-01        8.298295e-01        2.314750e-02        2.579985e-04        1.241797e-07        3.868910e+00  
  1.260000e-03        1.478423e-04        8.905719e-03        1.485491e-01        8.173315e-01        2.478278e-02        2.829551e-04        1.437643e-07        3.858545e+00  
  1.370000e-03        1.872976e-04        1.011682e-02        1.579233e-01        8.051053e-01        2.635778e-02        3.094359e-04        1.649486e-07        3.848259e+00  
  1.480000e-03        2.316651e-04        1.139346e-02        1.670191e-01        7.931441e-01        2.787429e-02        3.373378e-04        1.878137e-07        3.838049e+00  
  1.590000e-03        2.811614e-04        1.273260e-02        1.758440e-01        7.814414e-01        2.933406e-02        3.665619e-04        2.124311e-07        3.827915e+00  
  1.700000e-03        3.359875e-04        1.413130e-02        1.844056e-01        7.699911e-01        3.073880e-02        3.970134e-04        2.388631e-07        3.817858e+00  
  1.810000e-03        3.963291e-04        1.558669e-02        1.927111e-01        7.587869e-01        3.209016e-02        4.286012e-04        2.671633e-07        3.807875e+00  
  1.920000e-03        4.623577e-04        1.709605e-02        2.007676e-01        7.478228e-01        3.338974e-02        4.612382e-04        2.973774e-07        3.797967e+00  
  2.030000e-03        5.342307e-04        1.865671e-02        2.085819e-01        7.370930e-01        3.463910e-02        4.948408e-04        3.295429e-07        3.788132e+00  
  2.140000e-03        6.120923e-04        2.026610e-02        2.161606e-01        7.265918e-01        3.583976e-02        5.293289e-04        3.636906e-07        3.778371e+00  
  2.250000e-03        6.960739e-04        2.192174e-02        2.235103e-01        7.163137e-01        3.699318e-02        5.646258e-04        3.998440e-07        3.768682e+00  
  2.360000e-03        7.862947e-04        2.362126e-02        2.306373e-01        7.062533e-01        3.810080e-02        6.006583e-04        4.380206e-07        3.759065e+00  
  2.470000e-03        8.828622e-04        2.536233e-02        2.375476e-01        6.964054e-01        3.916400e-02        6.373560e-04        4.782316e-07        3.749519e+00  
  2.580000e-03        9.858727e-04        2.714272e-02        2.442474e-01        6.867648e-01        4.018413e-02        6.746517e-04        5.204826e-07        3.740045e+00  
  2.690000e-03        1.095412e-03        2.896028e-02        2.507423e-01        6.773264e-01        4.116251e-02        7.124813e-04        5.647741e-07        3.730640e+00  
  2.800000e-03        1.211554e-03        3.081294e-02        2.570382e-01        6.680856e-01        4.210041e-02        7.507832e-04        6.111014e-07        3.721305e+00  
  2.910000e-03        1.334366e-03        3.269868e-02        2.631403e-01        6.590375e-01        4.299905e-02        7.894989e-04        6.594553e-07        3.712039e+00  
  3.020000e-03        1.463904e-03        3.461559e-02        2.690542e-01        6.501775e-01        4.385965e-02        8.285723e-04        7.098223e-07        3.702842e+00  
  3.130000e-03        1.600214e-03        3.656177e-02        2.747849e-01        6.415011e-01        4.468337e-02        8.679500e-04        7.621849e-07        3.693713e+00  
  3.240000e-03        1.743335e-03        3.853545e-02        2.803376e-01        6.330039e-01        4.547134e-02        9.075808e-04        8.165218e-07        3.684651e+00  
  3.350000e-03        1.893298e-03        4.053487e-02        2.857172e-01        6.246817e-01        4.622467e-02        9.474161e-04        8.728083e-07        3.675655e+00  
  3.460000e-03        2.050125e-03        4.255838e-02        2.909285e-01        6.165303e-01        4.694442e-02        9.874096e-04        9.310165e-07        3.666727e+00  
  3.570000e-03        2.213831e-03        4.460434e-02        2.959761e-01        6.085456e-01        4.763163e-02        1.027517e-03        9.911154e-07        3.657863e+00  
  3.680000e-03        2.384425e-03        4.667121e-02        3.008646e-01        6.007237e-01        4.828731e-02        1.067696e-03        1.053072e-06        3.649066e+00  
  3.790000e-03        2.561908e-03        4.875749e-02        3.055984e-01        5.930607e-01        4.891243e-02        1.107908e-03        1.116849e-06        3.640333e+00  
  3.900000e-03        2.746275e-03        5.086174e-02        3.101818e-01        5.855530e-01        4.950796e-02        1.148113e-03        1.182409e-06        3.631664e+00  
  4.010000e-03        2.937515e-03        5.298255e-02        3.146189e-01        5.781967e-01        5.007482e-02        1.188275e-03        1.249711e-06        3.623059e+00  
  4.120000e-03        3.135610e-03        5.511859e-02        3.189139e-01        5.709884e-01        5.061389e-02        1.228361e-03        1.318713e-06        3.614517e+00  
  4.230000e-03        3.340540e-03        5.726857e-02        3.230706e-01        5.639246e-01        5.112606e-02        1.268338e-03        1.389371e-06        3.606038e+00  
  4.340000e-03        3.552275e-03        5.943125e-02        3.270929e-01        5.570018e-01        5.161216e-02        1.308174e-03        1.461639e-06        3.597621e+00  
  4.450000e-03        3.770783e-03        6.160543e-02        3.309845e-01        5.502169e-01        5.207303e-02        1.347842e-03        1.535471e-06        3.589266e+00  
  4.560000e-03        3.996028e-03        6.378995e-02        3.347492e-01        5.435665e-01        5.250946e-02        1.387312e-03        1.610817e-06        3.580972e+00  
  4.670000e-03        4.227967e-03        6.598371e-02        3.383904e-01        5.370475e-01        5.292223e-02        1.426558e-03        1.687629e-06        3.572739e+00  
  4.780000e-03        4.466554e-03        6.818564e-02        3.419115e-01        5.306569e-01        5.331208e-02        1.465557e-03        1.765856e-06        3.564566e+00  
  4.890000e-03        4.711740e-03        7.039473e-02        3.453160e-01        5.243917e-01        5.367975e-02        1.504285e-03        1.845447e-06        3.556453e+00  
  5.000000e-03        4.963471e-03        7.260997e-02        3.486070e-01        5.182489e-01        5.402595e-02        1.542719e-03        1.926352e-06        3.548400e+00  
  5.110000e-03        5.221689e-03        7.483043e-02        3.517878e-01        5.122258e-01        5.435137e-02        1.580839e-03        2.008516e-06        3.540405e+00  
  5.220000e-03        5.486335e-03        7.705520e-02        3.548615e-01        5.063196e-01        5.465668e-02        1.618625e-03        2.091889e-06        3.532469e+00  
  5.330000e-03        5.757344e-03        7.928339e-02        3.578309e-01        5.005276e-01        5.494252e-02        1.656060e-03        2.176416e-06        3.524591e+00  
  5.440000e-03        6.034650e-03        8.151418e-02        3.606991e-01        4.948471e-01        5.520953e-02        1.693126e-03        2.262044e-06        3.516771e+00  
  5.550000e-03        6.318184e-03        8.374675e-02        3.634689e-01        4.892757e-01        5.545833e-02        1.729807e-03        2.348720e-06        3.509008e+00  
  5.660000e-03        6.607874e-03        8.598033e-02        3.661431e-01        4.838107e-01        5.568950e-02        1.766088e-03        2.436390e-06        3.501302e+00  
  5.770000e-03        6.903646e-03        8.821418e-02        3.687243e-01        4.784498e-01        5.590362e-02        1.801956e-03        2.525002e-06        3.493652e+00  
  5.880000e-03        7.205423e-03        9.044758e-02        3.712151e-01        4.731906e-01        5.610126e-02        1.837396e-03        2.614500e-06        3.486057e+00  
  5.990000e-03        7.513127e-03        9.267986e-02        3.736182e-01        4.680308e-01        5.628296e-02        1.872398e-03        2.704833e-06        3.478519e+00  
