       X                   F4                  F5                  F6                  F7                  F8              q-mean(x)    
  2.500000e+00        4.630000e-03        1.200000e-01        7.180000e-01        1.490000e-01        8.369998e-03        6.036480e+00  
  2.612500e+00        4.194701e-03        1.152602e-01        7.151079e-01        1.565852e-01        8.852088e-03        6.050640e+00  
  2.725000e+00        3.863083e-03        1.111291e-01        7.117800e-01        1.638737e-01        9.354158e-03        6.063727e+00  
  2.837500e+00        3.605872e-03        1.075276e-01        7.081226e-01        1.708703e-01        9.873609e-03        6.075878e+00  
  2.950000e+00        3.402852e-03        1.043831e-01        7.042251e-01        1.775810e-01        1.040799e-02        6.087208e+00  
  3.062500e+00        3.239913e-03        1.016305e-01        7.001616e-01        1.840129e-01        1.095501e-02        6.097813e+00  
  3.175000e+00        3.107084e-03        9.921308e-02        6.959932e-01        1.901742e-01        1.151250e-02        6.107772e+00  
  3.287500e+00        2.997224e-03        9.708160e-02        6.917695e-01        1.960732e-01        1.207849e-02        6.117154e+00  
  3.400000e+00        2.905149e-03        9.519394e-02        6.875308e-01        2.017190e-01        1.265109e-02        6.126017e+00  
  3.512500e+00        2.827042e-03        9.351427e-02        6.833094e-01        2.071207e-01        1.322859e-02        6.134410e+00  
  3.625000e+00        2.760046e-03        9.201220e-02        6.791308e-01        2.122876e-01        1.380941e-02        6.142374e+00  
  3.737500e+00        2.701999e-03        9.066210e-02        6.750150e-01        2.172289e-01        1.439207e-02        6.149947e+00  
  3.850000e+00        2.651238e-03        8.944236e-02        6.709774e-01        2.219538e-01        1.497525e-02        6.157160e+00  
  3.962500e+00        2.606468e-03        8.833477e-02        6.670297e-01        2.264714e-01        1.555769e-02        6.164039e+00  
  4.075000e+00        2.566671e-03        8.732405e-02        6.631806e-01        2.307904e-01        1.613830e-02        6.170610e+00  
  4.187500e+00        2.531034e-03        8.639731e-02        6.594361e-01        2.349195e-01        1.671604e-02        6.176892e+00  
  4.300000e+00        2.498908e-03        8.554371e-02        6.558004e-01        2.388671e-01        1.728999e-02        6.182906e+00  
  4.412500e+00        2.469764e-03        8.475411e-02        6.522757e-01        2.426411e-01        1.785932e-02        6.188666e+00  
  4.525000e+00        2.443172e-03        8.402078e-02        6.488634e-01        2.462494e-01        1.842328e-02        6.194189e+00  
  4.637500e+00        2.418778e-03        8.333720e-02        6.455634e-01        2.496994e-01        1.898119e-02        6.199487e+00  
  4.750000e+00        2.396290e-03        8.269783e-02        6.423751e-01        2.529984e-01        1.953245e-02        6.204573e+00  
  4.862500e+00        2.375465e-03        8.209795e-02        6.392969e-01        2.561531e-01        2.007654e-02        6.209457e+00  
  4.975000e+00        2.356102e-03        8.153354e-02        6.363271e-01        2.591703e-01        2.061298e-02        6.214151e+00  
  5.087500e+00        2.338028e-03        8.100117e-02        6.334632e-01        2.620562e-01        2.114137e-02        6.218662e+00  
  5.200000e+00        2.321103e-03        8.049786e-02        6.307029e-01        2.648168e-01        2.166134e-02        6.223000e+00  
  5.312500e+00        2.305203e-03        8.002106e-02        6.280432e-01        2.674580e-01        2.217259e-02        6.227172e+00  
  5.425000e+00        2.290226e-03        7.956856e-02        6.254813e-01        2.699851e-01        2.267486e-02        6.231186e+00  
  5.537500e+00        2.276084e-03        7.913843e-02        6.230142e-01        2.724034e-01        2.316794e-02        6.235049e+00  
  5.650000e+00        2.262700e-03        7.872897e-02        6.206388e-01        2.747179e-01        2.365163e-02        6.238767e+00  
  5.762500e+00        2.250010e-03        7.833871e-02        6.183521e-01        2.769334e-01        2.412581e-02        6.242346e+00  
  5.875000e+00        2.237957e-03        7.796632e-02        6.161511e-01        2.790543e-01        2.459036e-02        6.245793e+00  
  5.987500e+00        2.226490e-03        7.761063e-02        6.140326e-01        2.810851e-01        2.504520e-02        6.249112e+00  
  6.100000e+00        2.215568e-03        7.727060e-02        6.119938e-01        2.830297e-01        2.549028e-02        6.252309e+00  
  6.212500e+00        2.205150e-03        7.694529e-02        6.100318e-01        2.848922e-01        2.592558e-02        6.255388e+00  
  6.325000e+00        2.195205e-03        7.663385e-02        6.081437e-01        2.866762e-01        2.635108e-02        6.258354e+00  
  6.437500e+00        2.185700e-03        7.633550e-02        6.063267e-01        2.883853e-01        2.676681e-02        6.261212e+00  
  6.550000e+00        2.176610e-03        7.604955e-02        6.045781e-01        2.900229e-01        2.717281e-02        6.263966e+00  
  6.662500e+00        2.167910e-03        7.577534e-02        6.028955e-01        2.915922e-01        2.756912e-02        6.266619e+00  
  6.775000e+00        2.159577e-03        7.551229e-02        6.012762e-01        2.930962e-01        2.795581e-02        6.269176e+00  
  6.887500e+00        2.151593e-03        7.525984e-02        5.997178e-01        2.945378e-01        2.833298e-02        6.271641e+00  
  7.000000e+00        2.143937e-03        7.501749e-02        5.982180e-01        2.959199e-01        2.870070e-02        6.274016e+00  
  7.112500e+00        2.136594e-03        7.478476e-02        5.967746e-01        2.972450e-01        2.905909e-02        6.276305e+00  
  7.225000e+00        2.129548e-03        7.456121e-02        5.953853e-01        2.985157e-01        2.940827e-02        6.278512e+00  
  7.337500e+00        2.122784e-03        7.434643e-02        5.940480e-01        2.997344e-01        2.974836e-02        6.280639e+00  
  7.450000e+00        2.116290e-03        7.414002e-02        5.927608e-01        3.009034e-01        3.007948e-02        6.282690e+00  
  7.562500e+00        2.110052e-03        7.394162e-02        5.915217e-01        3.020248e-01        3.040178e-02        6.284667e+00  
  7.675000e+00        2.104059e-03        7.375089e-02        5.903289e-01        3.031008e-01        3.071541e-02        6.286573e+00  
  7.787500e+00        2.098300e-03        7.356749e-02        5.891805e-01        3.041332e-01        3.102050e-02        6.288410e+00  
  7.900000e+00        2.092765e-03        7.339113e-02        5.880749e-01        3.051240e-01        3.131722e-02        6.290182e+00  
  8.012500e+00        2.087444e-03        7.322149e-02        5.870104e-01        3.060750e-01        3.160572e-02        6.291890e+00  
  8.125000e+00        2.082327e-03        7.305831e-02        5.859854e-01        3.069878e-01        3.188615e-02        6.293537e+00  
  8.237500e+00        2.077407e-03        7.290133e-02        5.849984e-01        3.078642e-01        3.215869e-02        6.295126e+00  
  8.350000e+00        2.072675e-03        7.275028e-02        5.840479e-01        3.087056e-01        3.242349e-02        6.296657e+00  
  8.462500e+00        2.068123e-03        7.260493e-02        5.831326e-01        3.095137e-01        3.268072e-02        6.298134e+00  
  8.575000e+00        2.063743e-03        7.246505e-02        5.822510e-01        3.102897e-01        3.293053e-02        6.299558e+00  
  8.687500e+00        2.059529e-03        7.233042e-02        5.814020e-01        3.110350e-01        3.317311e-02        6.300932e+00  
  8.800000e+00        2.055475e-03        7.220084e-02        5.805842e-01        3.117509e-01        3.340860e-02        6.302256e+00  
  8.912500e+00        2.051573e-03        7.207609e-02        5.797965e-01        3.124387e-01        3.363718e-02        6.303534e+00  
  9.025000e+00        2.047817e-03        7.195600e-02        5.790376e-01        3.130996e-01        3.385901e-02        6.304766e+00  
